epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,4770,,,0.7662482261657715,0.8841774463653564,0.7537356615066528,0.9332044124603271
0,4770,0.7090077996253967,1.138689398765564,,,,
1,9541,,,0.7832257151603699,0.8164204359054565,0.769686222076416,0.9418570399284363
1,9541,0.8289301991462708,0.616674542427063,,,,
2,14312,,,0.7928287982940674,0.8531730771064758,0.7770254611968994,0.941037654876709
2,14312,0.9109441637992859,0.3014611601829529,,,,
3,19083,,,0.8096096515655518,0.8647011518478394,0.7988213300704956,0.9437252283096313
3,19083,0.9721663594245911,0.09134158492088318,,,,
4,23854,,,0.8235062956809998,0.8541001081466675,0.8130141496658325,0.9487725496292114
4,23854,0.9946219325065613,0.021697156131267548,,,,
