model,mean_silhouette,std_silhouette,seed_42,seed_123,seed_456,seed_789,seed_1024
CNN (ResNet50),-0.2083001047372818,0.0005672156086551773,-0.20865078270435333,-0.20781484246253967,-0.2077009230852127,-0.2092246562242508,-0.2081093192100525
ViT,0.007864862028509379,0.0013116440382528775,0.008168838918209076,0.00710129551589489,0.006433194503188133,0.010240266099572182,0.0073807151056826115
ConvNeXt,0.18872659802436828,0.0008963530061887897,0.18852479755878448,0.18964864313602448,0.18902570009231567,0.1870950162410736,0.1893388330936432
