class_a,class_b,type,CNN_sim,ViT_sim,ConvNeXt_sim
har cheong gai,fried chicken,Texture-similar fried,0.9787085170022659,0.8920194996317359,0.754166923691567
har cheong gai,ngoh hiang,Texture-similar fried,0.8809187569390403,0.578283999164594,0.36516763834951593
Hor Fun,Kway Teow,Noodle type,0.8272681747568658,0.6879587775192126,0.5720965036593743
char siew pau,steamed buns,Steamed buns,0.9392584611785312,0.8646089021552489,0.8137715920331771
pitaya,mangosteen,Exotic fruit,0.5480523314491889,0.3806212182084928,0.21586557265670792
