epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,4770,,,0.8099046349525452,0.7226724624633789,0.7967674732208252,0.950476884841919
0,4770,0.7373327016830444,1.1152846813201904,,,,
1,9541,,,0.8275048136711121,0.6449453830718994,0.8150795698165894,0.9579823613166809
1,9541,0.869891345500946,0.48694121837615967,,,,
2,14312,,,0.829504132270813,0.6641420722007751,0.818935215473175,0.9556553363800049
2,14312,0.937199056148529,0.23642069101333618,,,,
3,19083,,,0.8353052735328674,0.6566639542579651,0.8246989250183105,0.9568352103233337
3,19083,0.9787169694900513,0.09184549003839493,,,,
4,23854,,,0.8399266004562378,0.6620454788208008,0.8309763669967651,0.9578185081481934
4,23854,0.9938227534294128,0.03626533970236778,,,,
