epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,4770,,,0.6341647505760193,1.437145471572876,0.6072238087654114,0.864737331867218
0,4770,0.5028396844863892,2.0782604217529297,,,,
1,9541,,,0.6940775513648987,1.1845405101776123,0.6724600791931152,0.8948903679847717
1,9541,0.6991228461265564,1.141034483909607,,,,
2,14312,,,0.7304251194000244,1.0537067651748657,0.713144838809967,0.9119662046432495
2,14312,0.8042671084403992,0.7065056562423706,,,,
3,19083,,,0.7432401180267334,1.1462432146072388,0.7253710627555847,0.9159975051879883
3,19083,0.9118612408638,0.295990526676178,,,,
4,23854,,,0.7570056915283203,1.4131014347076416,0.7411584258079529,0.9204549193382263
4,23854,0.976365327835083,0.07769667357206345,,,,
