epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.07000754028558731,4.813675403594971,0.026698864996433258,0.20618793368339539
0,2385,0.03223566710948944,5.181079864501953,,,,
1,4771,,,0.2535151243209839,3.6421546936035156,0.16685430705547333,0.5232211351394653
1,4771,0.16101455688476562,4.282777309417725,,,,
2,7157,,,0.35751041769981384,2.998953104019165,0.2744184136390686,0.6481269001960754
2,7157,0.29568901658058167,3.3844494819641113,,,,
3,9543,,,0.4022156000137329,2.7539680004119873,0.3252524137496948,0.6931270956993103
3,9543,0.36996009945869446,2.953232765197754,,,,
4,11929,,,0.4199141263961792,2.638200521469116,0.34573638439178467,0.7100062370300293
4,11929,0.401652067899704,2.7680392265319824,,,,
