epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,2385,,,0.7726393938064575,0.8925862312316895,0.7540760040283203,0.9298613667488098
0,2385,0.6546309590339661,1.5038115978240967,,,,
1,4771,,,0.7977450489997864,0.7750719785690308,0.7840415835380554,0.9433318972587585
1,4771,0.8302141427993774,0.6534684896469116,,,,
2,7157,,,0.8101340532302856,0.7325959801673889,0.7986167073249817,0.9463800191879272
2,7157,0.8977577090263367,0.39634332060813904,,,,
3,9543,,,0.8126904964447021,0.7288728952407837,0.8024643063545227,0.9473632574081421
3,9543,0.947346031665802,0.22429674863815308,,,,
4,11929,,,0.8143948316574097,0.7326777577400208,0.8023967742919922,0.9469044208526611
4,11929,0.9751665592193604,0.1308140903711319,,,,
