epoch,step,train_acc,train_loss,val_acc,val_loss,val_macro_acc,val_top5_acc
0,4770,,,0.808560848236084,0.724286675453186,0.7945411801338196,0.9495919346809387
0,4770,0.7477285861968994,1.022123098373413,,,,
1,9541,,,0.817541241645813,0.6830995082855225,0.8028160929679871,0.955327570438385
1,9541,0.8763043880462646,0.4510810077190399,,,,
2,14312,,,0.8263249397277832,0.6944457292556763,0.8152381181716919,0.9554587006568909
2,14312,0.94990074634552,0.17978128790855408,,,,
3,19083,,,0.8288158178329468,0.7209394574165344,0.8177322745323181,0.9556225538253784
3,19083,0.9879468083381653,0.049820322543382645,,,,
4,23854,,,0.8429746627807617,0.6925563216209412,0.8325167894363403,0.9590967297554016
4,23854,0.9974976778030396,0.0147272739559412,,,,
